session,sestype,sess_code,group_nb,part,dec_in_part,ind_partner,first_offer,g_memb_1,g_memb_2,g_memb_3,g_memb_4,g_memb_5,sess_sub1,sess_sub2,sess_sub3,sess_sub4,sess_sub5,male_1,male_2,male_3,male_4,male_5,age_1,age_2,age_3,age_4,age_5,econ_1,econ_2,econ_3,econ_4,econ_5,ind_ind_offer_1,ind_ind_offer_2,ind_ind_offer_3,ind_ind_offer_4,ind_ind_offer_5,g_ind_offer_1,g_ind_offer_2,g_ind_offer_3,g_ind_offer_4,g_ind_offer_5,group,1st,2nd,3rd,4th,5th,1st_male,2nd_male,3rd_male,4th_male,5th_male,1st_female,2nd_female,3rd_female,4th_female,5th_female,1st_econ,2nd_econ,3rd_econ,4th_econ,5th_econ,1st_age,2nd_age,3rd_age,4th_age,5th_age,,
3,DELIBERATION,080208R5,4,1,1,4,10,16,17,18,19,20,3_16,3_17,3_18,3_19,3_20,0,1,0,1,1,19,18,21,21,22,0,0,0,1,0,,,,,,10,10,10,7,0,10,0,7,10,10,10,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,0,1,0,0,0,22,21,19.33333333,19.33333333,19.33333333,,
3,DELIBERATION,080208R5,1,1,2,2,6,1,2,3,4,5,3_1,3_2,3_3,3_4,3_5,1,1,0,0,1,19,21,22,39,21,1,1,0,0,1,,,,,,0,0,1,9,0,0,0,0,0,1,9,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,20.33333333,20.33333333,20.33333333,22,39,,
3,DELIBERATION,080208R5,2,1,2,3,10,6,7,8,9,10,3_6,3_7,3_8,3_9,3_10,1,1,1,1,1,22,18,18,22,20,0,0,0,1,0,,,,,,9,10,10,9,10,10,9,9,10,10,10,1,1,1,1,1,0,0,0,0,0,0.5,0.5,0,0,0,22,22,18.66666667,18.66666667,18.66666667,,
3,DELIBERATION,080208R5,3,1,2,4,10,11,12,13,14,15,3_11,3_12,3_13,3_14,3_15,0,0,0,1,0,20,21,22,20,25,0,1,0,0,0,,,,,,6,5,0,0,0,1,0,0,0,5,6,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0,0,0,1,0,22.33333333,22.33333333,22.33333333,21,20,,
3,DELIBERATION,080208R5,4,1,2,5,3,16,17,18,19,20,3_16,3_17,3_18,3_19,3_20,0,1,0,1,1,19,18,21,21,22,0,0,0,1,0,,,,,,3,2,2,0,0,2,0,0,2,2,3,1,1,0.5,0.5,0,0,0,0.5,0.5,1,0.5,0.5,0,0,0,21.5,21.5,19.5,19.5,19,,
3,DELIBERATION,080208R5,1,2,1,3,7,16,12,8,4,20,3_16,3_12,3_8,3_4,3_20,0,0,1,0,1,19,21,18,39,22,0,1,0,0,0,,,,,,7,10,7,7,0,7,0,7,7,7,10,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,0,0,0,0,1,22,25.33333333,25.33333333,25.33333333,21,,
3,DELIBERATION,080208R5,2,2,1,4,10,1,17,13,9,5,3_1,3_17,3_13,3_9,3_5,1,1,0,1,1,19,18,22,22,21,1,0,0,1,1,,,,,,0,10,5,10,0,3,0,0,5,10,10,1,1,0,1,1,0,0,1,0,0,1,1,0,0.5,0.5,20,20,22,20,20,,
3,DELIBERATION,080208R5,3,2,1,5,3,6,2,18,14,10,3_6,3_2,3_18,3_14,3_10,1,1,0,1,1,22,21,21,20,20,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,20.8,20.8,20.8,20.8,20.8,,
3,DELIBERATION,080208R5,4,2,1,6,8,11,7,3,19,15,3_11,3_7,3_3,3_19,3_15,0,1,0,1,0,20,18,22,21,25,0,0,0,1,0,,,,,,4,8,0,5,0,5,0,0,4,5,8,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,23.5,23.5,20,21,18,,
3,DELIBERATION,080208R5,1,2,2,4,10,16,12,8,4,20,3_16,3_12,3_8,3_4,3_20,0,0,1,0,1,19,21,18,39,22,0,1,0,0,0,,,,,,10,5,10,9,0,9,0,5,9,10,10,1,0,0,0.5,0.5,0,1,1,0.5,0.5,0,1,0,0,0,22,21,39,18.5,18.5,,
3,DELIBERATION,080208R5,2,2,2,5,3,1,17,13,9,5,3_1,3_17,3_13,3_9,3_5,1,1,0,1,1,19,18,22,22,21,1,0,0,1,1,,,,,,0,3,0,2,0,1,0,0,0,2,3,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,0,20.66666667,20.66666667,20.66666667,22,18,,
3,DELIBERATION,080208R5,3,2,2,6,9,6,2,18,14,10,3_6,3_2,3_18,3_14,3_10,1,1,0,1,1,22,21,21,20,20,0,1,0,0,0,,,,,,0,0,0,0,8,0,0,0,0,0,8,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,21,21,21,21,20,,
3,DELIBERATION,080208R5,4,2,2,1,6,11,7,3,19,15,3_11,3_7,3_3,3_19,3_15,0,1,0,1,0,20,18,22,21,25,0,0,0,1,0,,,,,,5,6,0,0,0,1,0,0,0,5,6,0.333333333,0.333333333,0.333333333,0,1,0.666666667,0.666666667,0.666666667,1,0,0.333333333,0.333333333,0.333333333,0,0,22.66666667,22.66666667,22.66666667,20,18,,
3,DELIBERATION,080208R5,1,3,1,5,3,11,2,13,4,15,3_11,3_2,3_13,3_4,3_15,0,1,0,0,0,20,21,22,39,25,0,1,0,0,0,,,,,,0,0,0,2,0,0,0,0,0,0,2,0.25,0.25,0.25,0.25,0,0.75,0.75,0.75,0.75,1,0.25,0.25,0.25,0.25,0,22,22,22,22,39,,
3,DELIBERATION,080208R5,2,3,1,6,9,16,7,18,9,20,3_16,3_7,3_18,3_9,3_20,0,1,0,1,1,19,18,21,22,22,0,0,0,1,0,,,,,,9,9,0,9,0,8,0,0,9,9,9,0.5,0.5,0.666666667,0.666666667,0.666666667,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0.333333333,0.333333333,21.5,21.5,19.66666667,19.66666667,19.66666667,,
3,DELIBERATION,080208R5,3,3,1,1,6,1,12,3,14,5,3_1,3_12,3_3,3_14,3_5,1,0,0,1,1,19,21,22,20,21,1,1,0,0,1,,,,,,0,8,0,0,0,1,0,0,0,0,8,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,1,0.5,0.5,0.5,0.5,1,20.5,20.5,20.5,20.5,21,,
3,DELIBERATION,080208R5,4,3,1,2,8,6,17,8,19,10,3_6,3_17,3_8,3_19,3_10,1,1,1,1,1,22,18,18,21,20,0,0,0,1,0,,,,,,0,8,8,0,8,5,0,0,8,8,8,1,1,1,1,1,0,0,0,0,0,0.5,0.5,0,0,0,21.5,21.5,18.66666667,18.66666667,18.66666667,,
3,DELIBERATION,080208R5,1,3,2,6,9,11,2,13,4,15,3_11,3_2,3_13,3_4,3_15,0,1,0,0,0,20,21,22,39,25,0,1,0,0,0,,,,,,5,0,0,6,0,1,0,0,0,5,6,0.333333333,0.333333333,0.333333333,0,0,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,0,22.66666667,22.66666667,22.66666667,20,39,,
3,DELIBERATION,080208R5,2,3,2,1,6,16,7,18,9,20,3_16,3_7,3_18,3_9,3_20,0,1,0,1,1,19,18,21,22,22,0,0,0,1,0,,,,,,6,6,5,5,4,5,4,5,5,6,6,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0,22,21.5,21.5,18.5,18.5,,
3,DELIBERATION,080208R5,3,3,2,2,8,1,12,3,14,5,3_1,3_12,3_3,3_14,3_5,1,0,0,1,1,19,21,22,20,21,1,1,0,0,1,,,,,,0,8,0,0,0,0,0,0,0,0,8,0.75,0.75,0.75,0.75,0,0.25,0.25,0.25,0.25,1,0.5,0.5,0.5,0.5,1,20.5,20.5,20.5,20.5,21,,
3,DELIBERATION,080208R5,4,3,2,3,9,6,17,8,19,10,3_6,3_17,3_8,3_19,3_10,1,1,1,1,1,22,18,18,21,20,0,0,0,1,0,,,,,,7,9,0,0,0,3,0,0,0,7,9,1,1,1,1,1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,19.66666667,19.66666667,19.66666667,22,18,,
4,DELIBERATION,080215OC,1,1,1,1,5,1,2,3,4,5,4_1,4_2,4_3,4_4,4_5,0,0,1,0,1,,20,20,34,21,0,0,1,0,0,,,,,,0,5,2,5,2,1,0,2,2,5,5,0,1,1,0,0,1,0,0,1,1,0,0.5,0.5,0,0,,,,,,,
4,DELIBERATION,080215OC,2,1,1,2,5,6,7,8,9,10,4_6,4_7,4_8,4_9,4_10,1,1,1,1,0,23,29,22,19,21,0,1,0,1,0,,,,,,5,10,5,0,4,3,0,4,5,5,10,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,19,21,22.5,22.5,29,,
4,DELIBERATION,080215OC,3,1,1,3,3,11,12,13,14,15,4_11,4_12,4_13,4_14,4_15,1,1,1,1,1,19,21,19,19,22,0,0,1,0,0,,,,,,0,3,0,3,3,4,0,0,3,3,3,1,1,1,1,1,0,0,0,0,0,0.5,0.5,0,0,0,19,19,20.66666667,20.66666667,20.66666667,,
4,DELIBERATION,080215OC,4,1,1,4,7,16,17,18,19,20,4_16,4_17,4_18,4_19,4_20,1,0,0,0,1,20,24,26,18,18,0,0,1,0,0,,,,,,0,6,7,6,0,3,0,0,6,6,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,19,19,21,21,26,,
4,DELIBERATION,080215OC,1,1,2,2,5,1,2,3,4,5,4_1,4_2,4_3,4_4,4_5,0,0,1,0,1,,20,20,34,21,0,0,1,0,0,,,,,,0,5,0,2,2,0,0,0,2,2,5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0,0,,,,,,,
4,DELIBERATION,080215OC,2,1,2,3,4,6,7,8,9,10,4_6,4_7,4_8,4_9,4_10,1,1,1,1,0,23,29,22,19,21,0,1,0,1,0,,,,,,1,4,2,0,2,0,0,1,2,2,4,1,1,0.5,0.5,1,0,0,0.5,0.5,0,1,0,0,0,1,19,23,21.5,21.5,29,,
4,DELIBERATION,080215OC,3,1,2,4,8,11,12,13,14,15,4_11,4_12,4_13,4_14,4_15,1,1,1,1,1,19,21,19,19,22,0,0,1,0,0,,,,,,8,8,7,8,8,8,7,8,8,8,8,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,19,20.25,20.25,20.25,20.25,,
4,DELIBERATION,080215OC,4,1,2,5,10,16,17,18,19,20,4_16,4_17,4_18,4_19,4_20,1,0,0,0,1,20,24,26,18,18,0,0,1,0,0,,,,,,0,8,5,10,10,10,0,5,8,10,10,1,0,0,0.5,0.5,0,1,1,0.5,0.5,0,1,0,0,0,20,26,24,18,18,,
4,DELIBERATION,080215OC,1,2,1,3,2,16,12,8,4,20,4_16,4_12,4_8,4_4,4_20,1,1,1,0,1,20,21,22,34,18,0,0,0,0,0,,,,,,0,0,1,0,2,0,0,0,0,1,2,0.666666667,0.666666667,0.666666667,1,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,25,25,25,22,18,,
