session	phase	dec_in_phase	group_nb	group_id	session_ind	ind_id	ind_partner	first_offer	ind_ind	ind_g	group_dec	ind_ind_norm	ind_g_norm	group_dec_norm	absdiff_group_ind	ind_g_is_1st	ind_g_is_2nd	ind_g_is_3rd	ind_g_is_4th	ind_g_is_5th	pr_ind_g_norm	pr_group_dec_norm	pr_diff_group_ind	pr_i_was_1st	pr_i_was_2nd	pr_i_was_3rd	pr_i_was_4th	pr_i_was_5th	pr_i_was_1st_x_pr_diff_group_ind	pr_i_was_2nd_x_pr_diff_group_ind	pr_i_was_3rd_x_pr_diff_group_ind	pr_i_was_4th_x_pr_diff_group_ind	pr_i_was_5th_x_pr_diff_group_ind
2	1	1	1	211	3	203	1	5		2	1		-3	-4	1	0	0.5	0.5	0	0				1	1	1	1	1					
2	1	1	1	211	4	204	1	5		5	1		0	-4	4	0	0	0	0.5	0.5				1	1	1	1	1					
2	1	1	1	211	5	205	1	5		2	1		-3	-4	1	0	0.5	0.5	0	0				1	1	1	1	1					
2	1	1	2	212	6	206	2	5		5	3		0	-2	2	0	0	0.5	0.5	0				1	1	1	1	1					
2	1	1	2	212	7	207	2	5		10	3		5	-2	7	0	0	0	0	1				1	1	1	1	1					
2	1	1	2	212	8	208	2	5		5	3		0	-2	2	0	0	0.5	0.5	0				1	1	1	1	1					
2	1	1	2	212	9	209	2	5		0	3		-5	-2	3	1	0	0	0	0				1	1	1	1	1					
2	1	1	2	212	10	210	2	5		4	3		-1	-2	1	0	1	0	0	0				1	1	1	1	1					
2	1	1	3	213	11	211	3	3		0	4		-3	1	4	0.5	0.5	0	0	0				1	1	1	1	1					
2	1	1	3	213	12	212	3	3		3	4		0	1	1	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
2	1	1	3	213	13	213	3	3		0	4		-3	1	4	0.5	0.5	0	0	0				1	1	1	1	1					
2	1	1	3	213	14	214	3	3		3	4		0	1	1	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
2	1	1	3	213	15	215	3	3		3	4		0	1	1	0	0	0.3333333	0.3333333	0.3333333				1	1	1	1	1					
2	1	1	4	214	16	216	4	7		0	3		-7	-4	3	0.5	0.5	0	0	0				1	1	1	1	1					
2	1	1	4	214	17	217	4	7		6	3		-1	-4	3	0	0	0.5	0.5	0				1	1	1	1	1					
2	1	1	4	214	18	218	4	7		7	3		0	-4	4	0	0	0	0	1				1	1	1	1	1					
2	1	1	4	214	19	219	4	7		6	3		-1	-4	3	0	0	0.5	0.5	0				1	1	1	1	1					
2	1	1	4	214	20	220	4	7		0	3		-7	-4	3	0.5	0.5	0	0	0				1	1	1	1	1					
2	1	2	1	211	1	201	2	5		0	0		-5	-5	0	0.5	0.5	0	0	0	-5	-4	1	1	0	0	0	0	1	0	0	0	0
2	1	2	1	211	2	202	2	5		5	0		0	-5	5	0	0	0	0	1	0	-4	-4	0	0	0	1	1	0	0	0	-4	-4
2	1	2	1	211	3	203	2	5		0	0		-5	-5	0	0.5	0.5	0	0	0	-3	-4	-1	0	1	1	0	0	0	-1	-1	0	0
2	1	2	1	211	4	204	2	5		2	0		-3	-5	2	0	0	0.5	0.5	0	0	-4	-4	0	0	0	1	1	0	0	0	-4	-4
2	1	2	1	211	5	205	2	5		2	0		-3	-5	2	0	0	0.5	0.5	0	-3	-4	-1	0	1	1	0	0	0	-1	-1	0	0
2	1	2	2	212	6	206	3	4		1	0		-3	-4	1	0	1	0	0	0	0	-2	-2	0	0	1	1	0	0	0	-2	-2	0
2	1	2	2	212	7	207	3	4		4	0		0	-4	4	0	0	0	0	1	5	-2	-7	0	0	0	0	1	0	0	0	0	-7
2	1	2	2	212	8	208	3	4		2	0		-2	-4	2	0	0	0.5	0.5	0	0	-2	-2	0	0	1	1	0	0	0	-2	-2	0
2	1	2	2	212	9	209	3	4		0	0		-4	-4	0	1	0	0	0	0	-5	-2	3	1	0	0	0	0	3	0	0	0	0
2	1	2	2	212	10	210	3	4		2	0		-2	-4	2	0	0	0.5	0.5	0	-1	-2	-1	0	1	0	0	0	0	-1	0	0	0
2	1	2	3	213	11	211	4	8		8	8		0	0	0	0	0.25	0.25	0.25	0.25	-3	1	4	1	1	0	0	0	4	4	0	0	0
2	1	2	3	213	12	212	4	8		8	8		0	0	0	0	0.25	0.25	0.25	0.25	0	1	1	0	0	1	1	1	0	0	1	1	1
2	1	2	3	213	13	213	4	8		7	8		-1	0	1	1	0	0	0	0	-3	1	4	1	1	0	0	0	4	4	0	0	0
2	1	2	3	213	14	214	4	8		8	8		0	0	0	0	0.25	0.25	0.25	0.25	0	1	1	0	0	1	1	1	0	0	1	1	1
2	1	2	3	213	15	215	4	8		8	8		0	0	0	0	0.25	0.25	0.25	0.25	0	1	1	0	0	1	1	1	0	0	1	1	1
2	1	2	4	214	16	216	5	10		0	10		-10	0	10	1	0	0	0	0	-7	-4	3	1	1	0	0	0	3	3	0	0	0
2	1	2	4	214	17	217	5	10		8	10		-2	0	2	0	0	1	0	0	-1	-4	-3	0	0	1	1	0	0	0	-3	-3	0
2	1	2	4	214	18	218	5	10		5	10		-5	0	5	0	1	0	0	0	0	-4	-4	0	0	0	0	1	0	0	0	0	-4
2	1	2	4	214	19	219	5	10		10	10		0	0	0	0	0	0	0.5	0.5	-1	-4	-3	0	0	1	1	0	0	0	-3	-3	0
2	1	2	4	214	20	220	5	10		10	10		0	0	0	0	0	0	0.5	0.5	-7	-4	3	1	1	0	0	0	3	3	0	0	0
2	2	1	1	221	4	204	3	2		0	0		-2	-2	0	0.3333333	0.3333333	0.3333333	0	0	-3	-5	-2	0	0	1	1	0	0	0	-2	-2	0
2	2	1	1	221	8	208	3	2		1	0		-1	-2	1	0	0	0	1	0	-2	-4	-2	0	0	1	1	0	0	0	-2	-2	0
2	2	1	1	221	12	212	3	2		0	0		-2	-2	0	0.3333333	0.3333333	0.3333333	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
2	2	1	1	221	16	216	3	2		0	0		-2	-2	0	0.3333333	0.3333333	0.3333333	0	0	-10	0	10	1	0	0	0	0	10	0	0	0	0
2	2	1	1	221	20	220	3	2		2	0		0	-2	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
2	2	1	2	222	1	201	4	7		0	0		-7	-7	0	0.3333333	0.3333333	0.3333333	0	0	-5	-5	0	1	1	0	0	0	0	0	0	0	0
2	2	1	2	222	5	205	4	7		3	0		-4	-7	3	0	0	0	1	0	-3	-5	-2	0	0	1	1	0	0	0	-2	-2	0
2	2	1	2	222	9	209	4	7		0	0		-7	-7	0	0.3333333	0.3333333	0.3333333	0	0	-4	-4	0	1	0	0	0	0	0	0	0	0	0
2	2	1	2	222	13	213	4	7		0	0		-7	-7	0	0.3333333	0.3333333	0.3333333	0	0	-1	0	1	1	0	0	0	0	1	0	0	0	0
2	2	1	2	222	17	217	4	7		6	0		-1	-7	6	0	0	0	0	1	-2	0	2	0	0	1	0	0	0	0	2	0	0
2	2	1	3	223	2	202	5	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	0	-5	-5	0	0	0	0	1	0	0	0	0	-5
2	2	1	3	223	6	206	5	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	-3	-4	-1	0	1	0	0	0	0	-1	0	0	0
2	2	1	3	223	10	210	5	10		5	10		-5	0	5	1	0	0	0	0	-2	-4	-2	0	0	1	1	0	0	0	-2	-2	0
2	2	1	3	223	14	214	5	10		10	10		0	0	0	0	0	0.3333333	0.3333333	0.3333333	0	0	0	0	1	1	1	1	0	0	0	0	0
2	2	1	3	223	18	218	5	10		8	10		-2	0	2	0	1	0	0	0	-5	0	5	0	1	0	0	0	0	5	0	0	0
2	2	1	4	224	3	203	6	9		0	8		-9	-1	8	1	0	0	0	0	-5	-5	0	1	1	0	0	0	0	0	0	0	0
2	2	1	4	224	7	207	6	9		7	8		-2	-1	1	0	1	0	0	0	0	-4	-4	0	0	0	0	1	0	0	0	0	-4
2	2	1	4	224	11	211	6	9		9	8		0	-1	1	0	0	0	0.5	0.5	0	0	0	0	1	1	1	1	0	0	0	0	0
2	2	1	4	224	15	215	6	9		9	8		0	-1	1	0	0	0	0.5	0.5	0	0	0	0	1	1	1	1	0	0	0	0	0
2	2	1	4	224	19	219	6	9		8	8		-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
2	2	2	1	221	4	204	4	6		1	0		-5	-6	1	0	0	0	1	0	-2	-2	0	1	1	1	0	0	0	0	0	0	0
